Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,514.61
Elapsed Live Time:,489.29
Start Time:,September 13, 2024, 12:05:24
End Time:,September 13, 2024, 12:13:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,10
1,,4
2,,7
3,,5
4,,1
5,,5
6,,4
7,,3
8,,6
9,,5
10,,7
11,,2
12,,1
13,,5
14,,3
15,,5
16,,4
17,,4
18,,6
19,,8
20,,9
21,,11
22,,13
23,,9
24,,20
25,,11
26,,24
27,,592
28,,1235
29,,776
30,,739
31,,736
32,,852
33,,850
34,,960
35,,993
36,,1128
37,,1262
38,,1455
39,,1651
40,,1961
41,,2311
42,,2879
43,,3696
44,,4532
45,,5885
46,,7572
47,,9995
48,,12864
49,,17728
50,,23109
51,,29872
52,,37538
53,,46417
54,,54834
55,,63536
56,,70348
57,,74054
58,,75259
59,,73293
60,,68268
61,,60750
62,,52825
63,,44720
64,,37163
65,,30663
66,,25395
67,,20975
68,,17238
69,,14032
70,,11361
71,,8863
72,,7169
73,,5377
74,,4361
75,,3422
76,,2692
77,,2174
78,,1818
79,,1618
80,,1529
81,,1450
82,,1472
83,,1460
84,,1519
85,,1656
86,,1590
87,,1773
88,,1880
89,,1975
90,,2175
91,,2297
92,,2492
93,,2550
94,,2713
95,,2832
96,,2836
97,,2950
98,,3029
99,,3023
100,,3115
101,,3193
102,,3042
103,,3000
104,,2853
105,,2892
106,,2758
107,,2661
108,,2627
109,,2618
110,,2390
111,,2447
112,,2438
113,,2553
114,,2652
115,,2656
116,,2831
117,,3085
118,,3134
119,,3268
120,,3349
121,,3579
122,,3651
123,,3715
124,,3789
125,,3832
126,,3750
127,,3777
128,,3786
129,,3750
130,,3726
131,,3618
132,,3648
133,,3563
134,,3701
135,,3807
136,,3909
137,,3974
138,,4289
139,,4454
140,,4719
141,,5134
142,,5492
143,,6188
144,,6791
145,,7470
146,,8455
147,,9424
148,,10546
149,,11445
150,,12714
151,,13567
152,,14797
153,,15709
154,,16576
155,,17457
156,,18161
157,,17987
158,,18113
159,,17906
160,,17347
161,,16540
162,,15611
163,,14579
164,,13355
165,,12033
166,,10778
167,,9534
168,,8316
169,,7193
170,,6099
171,,5076
172,,4362
173,,3749
174,,3133
175,,2556
176,,2141
177,,1832
178,,1613
179,,1464
180,,1206
181,,1172
182,,1050
183,,993
184,,958
185,,875
186,,952
187,,813
188,,843
189,,838
190,,910
191,,862
192,,861
193,,865
194,,895
195,,886
196,,855
197,,930
198,,930
199,,965
200,,954
201,,1016
202,,970
203,,1034
204,,1050
205,,1081
206,,1086
207,,1172
208,,1201
209,,1271
210,,1363
211,,1334
212,,1450
213,,1492
214,,1594
215,,1636
216,,1689
217,,1736
218,,1813
219,,1840
220,,1835
221,,1976
222,,1937
223,,1874
224,,1959
225,,1756
226,,1883
227,,1877
228,,1792
229,,1779
230,,1579
231,,1605
232,,1594
233,,1472
234,,1435
235,,1307
236,,1283
237,,1219
238,,1161
239,,1120
240,,998
241,,965
242,,950
243,,926
244,,894
245,,966
246,,875
247,,887
248,,841
249,,867
250,,861
251,,834
252,,832
253,,753
254,,811
255,,815
256,,854
257,,805
258,,894
259,,875
260,,801
261,,852
262,,873
263,,902
264,,875
265,,933
266,,948
267,,907
268,,876
269,,925
270,,949
271,,1004
272,,959
273,,1036
274,,1038
275,,957
276,,1007
277,,1078
278,,1067
279,,1119
280,,1106
281,,1115
282,,1103
283,,1120
284,,1186
285,,1173
286,,1205
287,,1161
288,,1136
289,,1298
290,,1218
291,,1180
292,,1235
293,,1202
294,,1240
295,,1191
296,,1213
297,,1202
298,,1216
299,,1251
300,,1177
301,,1202
302,,1222
303,,1166
304,,1210
305,,1058
306,,1148
307,,1105
308,,1155
309,,1155
310,,1124
311,,1094
312,,1102
313,,1083
314,,1091
315,,988
316,,1033
317,,1055
318,,1089
319,,1075
320,,993
321,,1026
322,,966
323,,1010
324,,993
325,,1001
326,,992
327,,977
328,,963
329,,1026
330,,953
331,,985
332,,944
333,,962
334,,921
335,,924
336,,943
337,,904
338,,937
339,,909
340,,966
341,,917
342,,890
343,,882
344,,913
345,,909
346,,909
347,,869
348,,884
349,,925
350,,855
351,,874
352,,852
353,,904
354,,860
355,,863
356,,855
357,,861
358,,836
359,,801
360,,822
361,,803
362,,839
363,,780
364,,815
365,,760
366,,760
367,,745
368,,755
369,,789
370,,710
371,,687
372,,714
373,,695
374,,718
375,,690
376,,681
377,,734
378,,670
379,,664
380,,662
381,,701
382,,659
383,,624
384,,609
385,,615
386,,603
387,,647
388,,588
389,,605
390,,568
391,,639
392,,590
393,,596
394,,654
395,,577
396,,612
397,,521
398,,561
399,,588
400,,568
401,,580
402,,574
403,,581
404,,556
