Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,290.84
Elapsed Live Time:,288.5
Start Time:,September 13, 2024, 11:01:39
End Time:,September 13, 2024, 11:07:01
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,1
25,,0
26,,0
27,,9
28,,53
29,,57
30,,50
31,,66
32,,46
33,,35
34,,48
35,,40
36,,60
37,,54
38,,70
39,,71
40,,66
41,,81
42,,70
43,,88
44,,77
45,,84
46,,80
47,,93
48,,97
49,,90
50,,99
51,,102
52,,108
53,,111
54,,105
55,,114
56,,127
57,,109
58,,135
59,,136
60,,112
61,,141
62,,132
63,,95
64,,107
65,,124
66,,111
67,,122
68,,121
69,,135
70,,114
71,,117
72,,115
73,,104
74,,115
75,,130
76,,116
77,,103
78,,105
79,,118
80,,124
81,,109
82,,127
83,,127
84,,127
85,,111
86,,100
87,,137
88,,108
89,,102
90,,122
91,,118
92,,128
93,,104
94,,111
95,,126
96,,101
97,,107
98,,101
99,,111
100,,120
101,,128
102,,117
103,,120
104,,137
105,,100
106,,120
107,,139
108,,116
109,,147
110,,108
111,,110
112,,118
113,,108
114,,119
115,,129
116,,138
117,,152
118,,136
119,,124
120,,139
121,,127
122,,132
123,,148
124,,147
125,,133
126,,158
127,,161
128,,164
129,,183
130,,155
131,,178
132,,176
133,,169
134,,190
135,,182
136,,210
137,,192
138,,236
139,,209
140,,235
141,,237
142,,241
143,,250
144,,248
145,,240
146,,257
147,,259
148,,227
149,,244
150,,239
151,,228
152,,242
153,,224
154,,229
155,,225
156,,231
157,,196
158,,204
159,,198
160,,221
161,,207
162,,188
163,,202
164,,192
165,,182
166,,208
167,,176
168,,161
169,,199
170,,185
171,,151
172,,148
173,,146
174,,163
175,,158
176,,158
177,,145
178,,170
179,,144
180,,157
181,,150
182,,123
183,,143
184,,151
185,,126
186,,161
187,,139
188,,141
189,,149
190,,173
191,,147
192,,137
193,,136
194,,138
195,,146
196,,121
197,,133
198,,144
199,,125
200,,148
201,,143
202,,121
203,,156
204,,121
205,,142
206,,159
207,,149
208,,147
209,,124
210,,153
211,,145
212,,125
213,,157
214,,147
215,,144
216,,144
217,,141
218,,140
219,,134
220,,150
221,,141
222,,126
223,,140
224,,170
225,,141
226,,144
227,,154
228,,134
229,,148
230,,128
231,,130
232,,139
233,,115
234,,145
235,,135
236,,153
237,,157
238,,161
239,,150
240,,144
241,,138
242,,128
243,,134
244,,125
245,,130
246,,133
247,,147
248,,138
249,,164
250,,129
251,,124
252,,135
253,,117
254,,137
255,,125
256,,133
257,,140
258,,130
259,,124
260,,149
261,,135
262,,127
263,,122
264,,135
265,,129
266,,143
267,,137
268,,129
269,,148
270,,122
271,,132
272,,128
273,,107
274,,127
275,,154
276,,154
277,,139
278,,137
279,,124
280,,142
281,,134
282,,144
283,,156
284,,122
285,,153
286,,152
287,,124
288,,119
289,,139
290,,148
291,,150
292,,131
293,,134
294,,137
295,,128
296,,121
297,,125
298,,137
299,,144
300,,122
301,,145
302,,121
303,,135
304,,146
305,,134
306,,133
307,,133
308,,151
309,,123
310,,119
311,,139
312,,122
313,,132
314,,130
315,,131
316,,116
317,,138
318,,120
319,,136
320,,111
321,,117
322,,122
323,,125
324,,124
325,,115
326,,131
327,,114
328,,123
329,,106
330,,125
331,,127
332,,134
333,,131
334,,131
335,,120
336,,126
337,,156
338,,121
339,,131
340,,116
341,,135
342,,103
343,,132
344,,132
345,,135
346,,125
347,,128
348,,130
349,,127
350,,140
351,,99
352,,117
353,,133
354,,132
355,,109
356,,127
357,,124
358,,127
359,,125
360,,121
361,,112
362,,146
363,,134
364,,137
365,,115
366,,138
367,,121
368,,139
369,,127
370,,142
371,,131
372,,153
373,,141
374,,124
375,,141
