Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,386.77
Elapsed Live Time:,385.52
Start Time:,September 13, 2024, 11:38:12
End Time:,September 13, 2024, 11:44:43
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,1
27,,1719
28,,4171
29,,3333
30,,3053
31,,3115
32,,3297
33,,3442
34,,3516
35,,3705
36,,3799
37,,3693
38,,3947
39,,3864
40,,3749
41,,3650
42,,3552
43,,3206
44,,3055
45,,2682
46,,2392
47,,1944
48,,1672
49,,1337
50,,995
51,,779
52,,625
53,,423
54,,276
55,,194
56,,128
57,,91
58,,64
59,,48
60,,45
61,,35
62,,27
63,,25
64,,35
65,,34
66,,36
67,,30
68,,24
69,,23
70,,23
71,,29
72,,27
73,,30
74,,28
75,,30
76,,29
77,,25
78,,29
79,,39
80,,25
81,,31
82,,25
83,,26
84,,31
85,,36
86,,27
87,,38
88,,39
89,,50
90,,47
91,,32
92,,29
93,,31
94,,36
95,,38
96,,40
97,,47
98,,42
99,,44
100,,53
101,,57
102,,52
103,,56
104,,56
105,,58
106,,46
107,,61
108,,51
109,,70
110,,70
111,,72
112,,49
113,,67
114,,73
115,,67
116,,62
117,,61
118,,72
119,,85
120,,72
121,,70
122,,78
123,,86
124,,75
125,,83
126,,100
127,,80
128,,97
129,,73
130,,94
131,,110
132,,105
133,,116
134,,102
135,,114
136,,105
137,,119
138,,116
139,,130
140,,126
141,,128
142,,98
143,,113
144,,135
145,,128
146,,119
147,,107
148,,135
149,,120
150,,132
151,,139
152,,130
153,,139
154,,141
155,,184
156,,187
157,,177
158,,199
159,,197
160,,181
161,,253
162,,269
163,,278
164,,290
165,,285
166,,282
167,,298
168,,378
169,,347
170,,357
171,,334
172,,353
173,,337
174,,319
175,,318
176,,289
177,,299
178,,262
179,,219
180,,222
181,,201
182,,191
183,,166
184,,137
185,,152
186,,104
187,,110
188,,90
189,,108
190,,97
191,,83
192,,88
193,,83
194,,87
195,,80
196,,85
197,,73
198,,68
199,,79
200,,58
201,,67
202,,75
203,,79
204,,84
205,,71
206,,86
207,,64
208,,63
209,,45
210,,70
211,,78
212,,73
213,,61
214,,62
215,,67
216,,75
217,,72
218,,80
219,,70
220,,86
221,,72
222,,68
223,,66
224,,86
225,,55
226,,66
227,,70
228,,68
229,,76
230,,55
231,,56
232,,67
233,,74
234,,77
235,,71
236,,69
237,,64
238,,69
239,,65
240,,64
241,,76
242,,67
243,,83
244,,63
245,,47
246,,72
247,,72
248,,56
249,,67
250,,65
251,,71
252,,55
253,,59
254,,55
255,,66
256,,67
257,,76
258,,60
259,,66
260,,53
261,,55
262,,63
263,,58
264,,60
265,,48
266,,56
267,,58
268,,68
269,,52
270,,82
271,,52
272,,57
273,,49
274,,72
275,,51
276,,52
277,,50
278,,51
279,,49
280,,62
281,,51
282,,50
283,,49
284,,52
285,,61
286,,57
287,,62
288,,59
289,,58
290,,55
291,,50
292,,53
293,,46
294,,63
295,,49
296,,45
297,,49
298,,45
299,,48
300,,52
301,,37
302,,38
303,,47
304,,57
305,,64
306,,44
307,,41
308,,62
309,,47
310,,49
311,,51
312,,50
313,,55
314,,49
315,,50
316,,40
317,,41
318,,48
319,,45
320,,52
321,,45
322,,46
323,,40
324,,46
325,,50
326,,52
327,,39
328,,38
329,,27
330,,38
331,,45
332,,34
333,,49
334,,37
335,,39
336,,37
337,,37
338,,29
339,,41
340,,33
341,,48
342,,38
343,,35
344,,52
345,,44
346,,39
347,,44
348,,53
349,,30
350,,59
351,,39
352,,40
353,,37
354,,43
355,,55
356,,40
357,,34
358,,41
359,,43
360,,38
361,,49
362,,39
363,,24
364,,30
365,,33
366,,31
367,,45
368,,43
369,,43
370,,34
371,,28
