Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,913.94
Elapsed Live Time:,910.88
Start Time:,September 13, 2024, 11:16:46
End Time:,September 13, 2024, 11:32:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,41
28,,133
29,,94
30,,97
31,,95
32,,106
33,,103
34,,84
35,,97
36,,100
37,,114
38,,104
39,,107
40,,124
41,,142
42,,160
43,,166
44,,137
45,,174
46,,164
47,,170
48,,189
49,,172
50,,216
51,,194
52,,238
53,,245
54,,263
55,,255
56,,308
57,,264
58,,275
59,,293
60,,321
61,,292
62,,281
63,,286
64,,272
65,,315
66,,245
67,,247
68,,223
69,,244
70,,252
71,,251
72,,244
73,,266
74,,253
75,,257
76,,254
77,,238
78,,218
79,,247
80,,251
81,,276
82,,244
83,,230
84,,245
85,,243
86,,245
87,,241
88,,248
89,,234
90,,233
91,,238
92,,241
93,,226
94,,238
95,,252
96,,229
97,,261
98,,243
99,,240
100,,274
101,,256
102,,250
103,,264
104,,216
105,,255
106,,256
107,,256
108,,255
109,,287
110,,267
111,,269
112,,281
113,,279
114,,289
115,,286
116,,286
117,,292
118,,296
119,,303
120,,323
121,,303
122,,323
123,,325
124,,347
125,,380
126,,383
127,,362
128,,363
129,,366
130,,395
131,,398
132,,411
133,,439
134,,464
135,,461
136,,486
137,,481
138,,491
139,,526
140,,497
141,,510
142,,538
143,,547
144,,486
145,,535
146,,552
147,,484
148,,500
149,,500
150,,473
151,,451
152,,464
153,,485
154,,467
155,,417
156,,451
157,,439
158,,408
159,,446
160,,420
161,,441
162,,443
163,,432
164,,433
165,,386
166,,413
167,,397
168,,392
169,,409
170,,382
171,,380
172,,360
173,,383
174,,365
175,,334
176,,330
177,,334
178,,315
179,,364
180,,319
181,,326
182,,337
183,,314
184,,346
185,,348
186,,310
187,,335
188,,309
189,,354
190,,332
191,,309
192,,310
193,,304
194,,315
195,,347
196,,319
197,,324
198,,328
199,,353
200,,314
201,,327
202,,333
203,,358
204,,305
205,,311
206,,327
207,,339
208,,303
209,,304
210,,332
211,,290
212,,317
213,,335
214,,307
215,,321
216,,315
217,,325
218,,302
219,,313
220,,286
221,,333
222,,307
223,,313
224,,303
225,,297
226,,306
227,,319
228,,306
229,,289
230,,315
231,,314
232,,289
233,,311
234,,301
235,,315
236,,337
237,,333
238,,325
239,,312
240,,334
241,,292
242,,305
243,,341
244,,325
245,,292
246,,316
247,,314
248,,314
249,,290
250,,286
251,,306
252,,274
253,,328
254,,296
255,,319
256,,332
257,,310
258,,320
259,,291
260,,279
261,,280
262,,274
263,,313
264,,326
265,,279
266,,278
267,,343
268,,284
269,,284
270,,319
271,,287
272,,282
273,,298
274,,269
275,,292
276,,328
277,,273
278,,289
279,,276
280,,296
281,,273
282,,294
283,,293
284,,268
285,,296
286,,257
287,,293
288,,307
289,,323
290,,299
291,,310
292,,281
293,,314
294,,307
295,,301
296,,300
297,,266
298,,322
299,,306
300,,280
301,,276
302,,301
303,,307
304,,290
305,,295
306,,285
307,,306
308,,306
309,,321
310,,302
311,,325
312,,332
313,,334
314,,322
315,,276
316,,327
317,,297
318,,318
319,,298
320,,299
321,,323
322,,307
323,,324
324,,334
325,,324
326,,341
327,,323
328,,320
329,,334
330,,347
331,,332
332,,319
333,,312
334,,297
335,,311
336,,338
337,,345
338,,340
339,,321
340,,341
341,,335
342,,340
343,,362
344,,348
345,,353
346,,266
347,,337
348,,314
349,,340
350,,296
351,,317
352,,308
353,,344
354,,333
355,,301
356,,312
357,,313
358,,322
359,,293
360,,314
361,,321
362,,276
363,,337
364,,277
365,,295
366,,335
367,,308
368,,289
369,,276
370,,283
371,,353
372,,273
373,,299
374,,275
375,,306
