Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,525.47
Elapsed Live Time:,524.64
Start Time:,September 13, 2024, 11:45:49
End Time:,September 13, 2024, 11:54:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,7
28,,25
29,,11
30,,5
31,,13
32,,10
33,,13
34,,14
35,,20
36,,18
37,,14
38,,16
39,,13
40,,12
41,,21
42,,24
43,,21
44,,21
45,,23
46,,24
47,,21
48,,28
49,,31
50,,37
51,,33
52,,31
53,,43
54,,37
55,,42
56,,41
57,,43
58,,46
59,,52
60,,45
61,,37
62,,52
63,,48
64,,46
65,,47
66,,49
67,,51
68,,55
69,,41
70,,52
71,,51
72,,57
73,,42
74,,57
75,,58
76,,50
77,,60
78,,42
79,,40
80,,55
81,,44
82,,45
83,,57
84,,42
85,,53
86,,65
87,,51
88,,47
89,,64
90,,50
91,,40
92,,60
93,,44
94,,49
95,,48
96,,45
97,,53
98,,57
99,,53
100,,43
101,,48
102,,61
103,,52
104,,57
105,,58
106,,59
107,,69
108,,54
109,,69
110,,70
111,,78
112,,74
113,,92
114,,69
115,,83
116,,75
117,,89
118,,87
119,,74
120,,90
121,,85
122,,121
123,,97
124,,119
125,,129
126,,115
127,,125
128,,110
129,,132
130,,141
131,,167
132,,155
133,,174
134,,163
135,,187
136,,191
137,,184
138,,167
139,,172
140,,185
141,,179
142,,205
143,,216
144,,203
145,,190
146,,181
147,,214
148,,197
149,,201
150,,214
151,,167
152,,174
153,,179
154,,192
155,,200
156,,197
157,,200
158,,189
159,,198
160,,189
161,,196
162,,178
163,,193
164,,185
165,,204
166,,218
167,,220
168,,202
169,,230
170,,213
171,,202
172,,215
173,,219
174,,190
175,,216
176,,202
177,,229
178,,199
179,,215
180,,196
181,,184
182,,176
183,,171
184,,194
185,,179
186,,193
187,,195
188,,191
189,,167
190,,177
191,,174
192,,146
193,,180
194,,157
195,,179
196,,183
197,,186
198,,181
199,,165
200,,166
201,,187
202,,206
203,,160
204,,194
205,,181
206,,229
207,,231
208,,257
209,,275
210,,272
211,,296
212,,329
213,,396
214,,426
215,,467
216,,498
217,,536
218,,554
219,,680
220,,665
221,,758
222,,843
223,,840
224,,874
225,,979
226,,990
227,,1033
228,,1085
229,,1089
230,,1092
231,,1061
232,,1125
233,,1054
234,,1116
235,,1060
236,,998
237,,950
238,,893
239,,862
240,,786
241,,686
242,,710
243,,587
244,,571
245,,565
246,,526
247,,465
248,,436
249,,377
250,,363
251,,330
252,,317
253,,259
254,,284
255,,268
256,,256
257,,235
258,,219
259,,215
260,,191
261,,193
262,,203
263,,190
264,,179
265,,149
266,,151
267,,136
268,,138
269,,119
270,,146
271,,132
272,,119
273,,126
274,,110
275,,97
276,,95
277,,88
278,,82
279,,90
280,,96
281,,77
282,,74
283,,86
284,,86
285,,85
286,,83
287,,74
288,,86
289,,71
290,,75
291,,65
292,,64
293,,63
294,,75
295,,77
296,,76
297,,63
298,,71
299,,76
300,,71
301,,75
302,,64
303,,84
304,,77
305,,74
306,,70
307,,75
308,,67
309,,60
310,,64
311,,62
312,,69
313,,61
314,,62
315,,68
316,,63
317,,69
318,,59
319,,72
320,,53
321,,66
322,,67
323,,63
324,,67
325,,63
326,,64
327,,56
328,,73
329,,56
330,,59
331,,64
332,,51
333,,73
334,,51
335,,52
336,,53
337,,54
338,,59
339,,53
340,,53
341,,65
342,,49
343,,52
344,,59
345,,51
346,,55
347,,46
348,,49
349,,52
350,,63
351,,58
352,,54
353,,51
354,,56
355,,49
356,,58
357,,45
358,,49
359,,59
360,,38
361,,47
362,,50
363,,58
364,,50
365,,64
366,,50
367,,42
368,,52
369,,42
370,,62
371,,50
372,,41
373,,45
