Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,520.07
Elapsed Live Time:,519.39
Start Time:,September 13, 2024, 11:55:38
End Time:,September 13, 2024, 12:04:18
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,12
28,,31
29,,21
30,,12
31,,16
32,,18
33,,16
34,,17
35,,16
36,,19
37,,26
38,,16
39,,21
40,,20
41,,19
42,,22
43,,23
44,,21
45,,29
46,,42
47,,37
48,,31
49,,51
50,,39
51,,35
52,,59
53,,44
54,,63
55,,72
56,,61
57,,82
58,,74
59,,76
60,,68
61,,69
62,,73
63,,74
64,,65
65,,47
66,,60
67,,53
68,,62
69,,51
70,,57
71,,57
72,,53
73,,45
74,,44
75,,44
76,,54
77,,63
78,,52
79,,52
80,,55
81,,49
82,,56
83,,50
84,,56
85,,58
86,,52
87,,49
88,,55
89,,62
90,,70
91,,58
92,,65
93,,71
94,,56
95,,61
96,,56
97,,54
98,,65
99,,72
100,,60
101,,65
102,,65
103,,73
104,,76
105,,76
106,,71
107,,63
108,,69
109,,78
110,,73
111,,56
112,,78
113,,73
114,,74
115,,81
116,,92
117,,95
118,,99
119,,75
120,,101
121,,103
122,,111
123,,111
124,,119
125,,114
126,,115
127,,122
128,,136
129,,126
130,,131
131,,140
132,,122
133,,136
134,,143
135,,152
136,,146
137,,128
138,,151
139,,152
140,,157
141,,164
142,,137
143,,162
144,,137
145,,172
146,,160
147,,159
148,,156
149,,147
150,,154
151,,165
152,,122
153,,146
154,,125
155,,164
156,,133
157,,136
158,,144
159,,131
160,,139
161,,154
162,,140
163,,142
164,,145
165,,140
166,,123
167,,136
168,,141
169,,123
170,,114
171,,129
172,,105
173,,120
174,,126
175,,117
176,,116
177,,117
178,,109
179,,109
180,,123
181,,117
182,,116
183,,108
184,,126
185,,118
186,,138
187,,102
188,,110
189,,102
190,,133
191,,93
192,,102
193,,133
194,,116
195,,115
196,,105
197,,114
198,,112
199,,119
200,,116
201,,123
202,,120
203,,95
204,,105
205,,124
206,,118
207,,123
208,,114
209,,89
210,,111
211,,112
212,,116
213,,92
214,,109
215,,123
216,,95
217,,108
218,,104
219,,117
220,,104
221,,119
222,,106
223,,107
224,,130
225,,111
226,,111
227,,108
228,,101
229,,107
230,,118
231,,97
232,,104
233,,106
234,,108
235,,106
236,,98
237,,113
238,,115
239,,117
240,,96
241,,97
242,,87
243,,100
244,,117
245,,83
246,,85
247,,110
248,,114
249,,96
250,,94
251,,97
252,,109
253,,99
254,,97
255,,112
256,,105
257,,94
258,,90
259,,94
260,,116
261,,117
262,,90
263,,93
264,,81
265,,73
266,,100
267,,78
268,,76
269,,104
270,,103
271,,114
272,,86
273,,74
274,,96
275,,126
276,,101
277,,76
278,,94
279,,90
280,,88
281,,90
282,,87
283,,95
284,,90
285,,82
286,,87
287,,83
288,,73
289,,105
290,,91
291,,94
292,,86
293,,90
294,,102
295,,86
296,,87
297,,101
298,,100
299,,79
300,,83
301,,72
302,,80
303,,66
304,,72
305,,81
306,,72
307,,75
308,,86
309,,49
310,,74
311,,84
312,,72
313,,80
314,,77
315,,74
316,,91
317,,83
318,,71
319,,71
320,,87
321,,81
322,,76
323,,66
324,,78
325,,77
326,,76
327,,68
328,,84
329,,67
330,,73
331,,82
332,,73
333,,83
334,,66
335,,65
336,,91
337,,55
338,,75
339,,80
340,,82
341,,68
342,,68
343,,103
344,,78
345,,72
346,,75
347,,78
348,,75
349,,71
350,,64
351,,96
352,,73
353,,85
354,,73
355,,81
356,,74
357,,63
358,,75
359,,65
360,,66
361,,80
362,,59
363,,72
364,,82
365,,71
366,,62
367,,65
368,,71
369,,63
370,,85
371,,66
372,,68
373,,70
374,,69
375,,78
