Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,1062.0
Elapsed Live Time:,1050.59
Start Time:,September 13, 2024, 12:15:38
End Time:,September 13, 2024, 12:33:21
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,1
14,,0
15,,0
16,,0
17,,0
18,,0
19,,2
20,,0
21,,2
22,,0
23,,1
24,,1
25,,2
26,,2
27,,340
28,,629
29,,416
30,,351
31,,345
32,,322
33,,314
34,,341
35,,355
36,,410
37,,412
38,,405
39,,436
40,,519
41,,545
42,,595
43,,679
44,,738
45,,881
46,,1051
47,,1265
48,,1417
49,,1855
50,,2225
51,,2867
52,,3565
53,,4504
54,,5626
55,,6901
56,,8084
57,,9034
58,,9800
59,,10151
60,,10087
61,,9327
62,,8771
63,,8024
64,,6700
65,,5874
66,,5130
67,,4339
68,,3664
69,,3250
70,,2857
71,,2456
72,,2117
73,,1926
74,,1699
75,,1498
76,,1311
77,,1246
78,,1074
79,,1004
80,,948
81,,943
82,,860
83,,920
84,,882
85,,871
86,,875
87,,809
88,,772
89,,809
90,,776
91,,809
92,,848
93,,828
94,,827
95,,824
96,,816
97,,749
98,,797
99,,764
100,,833
101,,777
102,,733
103,,861
104,,823
105,,816
106,,848
107,,826
108,,761
109,,759
110,,840
111,,858
112,,853
113,,791
114,,830
115,,837
116,,934
117,,817
118,,867
119,,884
120,,914
121,,945
122,,942
123,,976
124,,911
125,,969
126,,1004
127,,1045
128,,1079
129,,1122
130,,1151
131,,1142
132,,1195
133,,1285
134,,1323
135,,1317
136,,1376
137,,1368
138,,1463
139,,1396
140,,1378
141,,1482
142,,1399
143,,1403
144,,1385
145,,1386
146,,1342
147,,1254
148,,1343
149,,1324
150,,1189
151,,1211
152,,1175
153,,1172
154,,1164
155,,1073
156,,1099
157,,1094
158,,1081
159,,1085
160,,1072
161,,1048
162,,1061
163,,1078
164,,1012
165,,1049
166,,978
167,,1036
168,,1016
169,,918
170,,930
171,,976
172,,914
173,,930
174,,910
175,,898
176,,894
177,,841
178,,892
179,,865
180,,904
181,,855
182,,861
183,,843
184,,885
185,,860
186,,865
187,,811
188,,866
189,,800
190,,849
191,,839
192,,830
193,,832
194,,869
195,,853
196,,885
197,,862
198,,890
199,,841
200,,830
201,,824
202,,839
203,,814
204,,838
205,,846
206,,785
207,,805
208,,811
209,,833
210,,839
211,,876
212,,815
213,,829
214,,861
215,,829
216,,833
217,,838
218,,844
219,,811
220,,887
221,,824
222,,838
223,,853
224,,819
225,,848
226,,854
227,,843
228,,830
229,,804
230,,827
231,,856
232,,890
233,,796
234,,858
235,,839
236,,856
237,,851
238,,863
239,,847
240,,817
241,,805
242,,833
243,,815
244,,850
245,,815
246,,858
247,,795
248,,806
249,,814
250,,772
251,,819
252,,826
253,,871
254,,844
255,,827
256,,832
257,,865
258,,836
259,,812
260,,797
261,,828
262,,791
263,,773
264,,815
265,,752
266,,803
267,,861
268,,825
269,,818
270,,799
271,,829
272,,804
273,,814
274,,758
275,,792
276,,874
277,,826
278,,862
279,,809
280,,819
281,,833
282,,795
283,,857
284,,788
285,,755
286,,826
287,,793
288,,816
289,,868
290,,834
291,,800
292,,814
293,,851
294,,836
295,,855
296,,839
297,,868
298,,854
299,,818
300,,795
301,,829
302,,836
303,,806
304,,804
305,,816
306,,843
307,,804
308,,833
309,,806
310,,875
311,,886
312,,851
313,,895
314,,877
315,,879
316,,883
317,,923
318,,825
319,,836
320,,917
321,,838
322,,896
323,,957
324,,867
325,,967
326,,949
327,,894
328,,940
329,,974
330,,964
331,,1044
332,,945
333,,1026
334,,978
335,,1037
336,,982
337,,1065
338,,1011
339,,1061
340,,1086
341,,1031
342,,1072
343,,1066
344,,1060
345,,1042
346,,1062
347,,1088
348,,1072
349,,1054
350,,1074
351,,1067
352,,1153
353,,1050
354,,1122
355,,1108
