Wavelength (nm),microAmps (mA)
655.94,0.40169
655.9401,0.40146
655.9402,0.40177
655.9403,0.40175
655.9404,0.40164
655.9405,0.40171
655.9406,0.40189
655.9407,0.40181
655.9408,0.40166
655.9409,0.40152
655.941,0.40156
655.9411,0.40164
655.9412,0.40146
655.9413,0.40169
655.9414,0.40169
655.9415,0.40162
655.9416,0.40162
655.9417,0.40162
655.9418,0.40175
655.9419,0.40185
655.942,0.40156
655.9421,0.40156
655.9422,0.40175
655.9423,0.40187
655.9424,0.40154
655.9425,0.40169
655.9426,0.4016
655.9427,0.40164
655.9428,0.40171
655.9429,0.40169
655.943,0.40179
655.9431,0.40164
655.9432,0.40162
655.9433,0.40158
655.9434,0.4016
655.9435,0.4016
655.9436,0.40171
655.9437,0.40162
655.9438,0.40164
655.9439,0.40162
655.944,0.40169
655.9441,0.40181
655.9442,0.40158
655.9443,0.40158
655.9444,0.4015
655.9445,0.40191
655.9446,0.40169
655.9447,0.40169
655.9448,0.40175
655.9449,0.40173
655.945,0.40179
655.9451,0.40171
655.9452,0.40185
655.9453,0.40164
655.9454,0.40189
655.9455,0.40175
655.9456,0.40166
655.9457,0.40156
655.9458,0.40164
655.9459,0.40156
655.946,0.40152
655.9461,0.40171
655.9462,0.40183
655.9463,0.40171
655.9464,0.4016
655.9465,0.40181
655.9466,0.4016
655.9467,0.40171
655.9468,0.4016
655.9469,0.40158
655.947,0.40181
655.9471,0.40152
655.9472,0.40164
655.9473,0.40166
655.9474,0.40164
655.9475,0.40201
655.9476,0.40158
655.9477,0.40183
655.9478,0.40171
655.9479,0.40173
655.948,0.40162
655.9481,0.40181
655.9482,0.40171
655.9483,0.40193
655.9484,0.40171
655.9485,0.40173
655.9486,0.40203
655.9487,0.40183
655.9488,0.40205
655.9489,0.40177
655.949,0.40181
655.9491,0.40185
655.9492,0.40189
655.9493,0.40173
655.9494,0.40189
655.9495,0.40169
655.9496,0.40173
655.9497,0.40158
655.9498,0.40187
655.9499,0.40177
655.95,0.40177
655.9501,0.40193
655.9502,0.40179
655.9503,0.40181
655.9504,0.40175
655.9505,0.40191
655.9506,0.40154
655.9507,0.4016
655.9508,0.40171
655.9509,0.40197
655.951,0.40181
655.9511,0.40175
655.9512,0.40185
655.9513,0.40152
655.9514,0.40166
655.9515,0.40158
655.9516,0.40164
655.9517,0.40169
655.9518,0.40166
655.9519,0.40183
655.952,0.40181
655.9521,0.40181
655.9522,0.40197
655.9523,0.40181
655.9524,0.40171
655.9525,0.40181
655.9526,0.40179
655.9527,0.40171
655.9528,0.40189
655.9529,0.40173
655.953,0.40169
655.9531,0.40199
655.9532,0.40158
655.9533,0.40181
655.9534,0.40156
655.9535,0.40173
655.9536,0.40171
655.9537,0.40183
655.9538,0.40209
655.9539,0.40187
655.954,0.40173
655.9541,0.40181
655.9542,0.40166
655.9543,0.40166
655.9544,0.40179
655.9545,0.40185
655.9546,0.40203
655.9547,0.40185
655.9548,0.40171
655.9549,0.40203
655.955,0.40197
655.9551,0.40193
655.9552,0.40177
655.9553,0.40162
655.9554,0.40179
655.9555,0.40187
655.9556,0.40187
655.9557,0.40162
655.9558,0.40164
655.9559,0.40183
655.956,0.40195
655.9561,0.40177
655.9562,0.40189
655.9563,0.40191
655.9564,0.40173
655.9565,0.40171
655.9566,0.40175
655.9567,0.40171
655.9568,0.40158
655.9569,0.40187
655.957,0.40169
655.9571,0.40164
655.9572,0.40173
655.9573,0.40166
655.9574,0.40173
655.9575,0.40197
655.9576,0.40195
655.9577,0.40183
655.9578,0.40166
655.9579,0.40183
655.958,0.40173
655.9581,0.40179
655.9582,0.40181
655.9583,0.40185
655.9584,0.40181
655.9585,0.40175
655.9586,0.40175
655.9587,0.40177
655.9588,0.40173
655.9589,0.40154
655.959,0.4016
655.9591,0.4016
655.9592,0.40166
655.9593,0.40181
655.9594,0.40177
655.9595,0.40187
655.9596,0.40181
655.9597,0.40195
655.9598,0.4016
655.9599,0.4016
655.96,0.40185
655.9601,0.40166
655.9602,0.40185
655.9603,0.40191
655.9604,0.40175
655.9605,0.40173
655.9606,0.40199
655.9607,0.40183
655.9608,0.40177
655.9609,0.40197
655.961,0.40171
655.9611,0.40185
655.9612,0.40173
655.9613,0.40179
655.9614,0.40181
655.9615,0.40175
655.9616,0.40187
655.9617,0.40148
655.9618,0.40201
655.9619,0.40189
655.962,0.40181
655.9621,0.40187
655.9622,0.40164
655.9623,0.40162
655.9624,0.40201
655.9625,0.40183
655.9626,0.40191
655.9627,0.40195
655.9628,0.40203
655.9629,0.40185
655.963,0.40191
655.9631,0.40156
655.9632,0.40183
655.9633,0.40199
655.9634,0.40187
655.9635,0.40162
655.9636,0.40209
655.9637,0.40173
655.9638,0.40173
655.9639,0.40191
655.964,0.40183
655.9641,0.40211
655.9642,0.40175
655.9643,0.40191
655.9644,0.40169
655.9645,0.40179
655.9646,0.40179
655.9647,0.40166
655.9648,0.40183
655.9649,0.40175
655.965,0.40197
655.9651,0.40199
655.9652,0.40181
655.9653,0.40175
655.9654,0.40181
655.9655,0.40156
655.9656,0.40173
655.9657,0.40177
655.9658,0.40183
655.9659,0.40185
655.966,0.40173
655.9661,0.40189
655.9662,0.40175
655.9663,0.40195
655.9664,0.40154
655.9665,0.40193
655.9666,0.40201
655.9667,0.40193
655.9668,0.40185
655.9669,0.40183
655.967,0.40193
655.9671,0.40171
655.9672,0.40183
655.9673,0.40175
655.9674,0.40171
655.9675,0.4016
655.9676,0.4016
655.9677,0.40201
655.9678,0.40191
655.9679,0.40185
655.968,0.40175
655.9681,0.40183
655.9682,0.40169
655.9683,0.40199
655.9684,0.40191
655.9685,0.40175
655.9686,0.40193
655.9687,0.40171
655.9688,0.40191
655.9689,0.40183
655.969,0.40187
655.9691,0.40199
655.9692,0.40185
655.9693,0.40203
655.9694,0.40185
655.9695,0.40191
655.9696,0.40195
655.9697,0.40177
655.9698,0.40164
655.9699,0.40201
655.97,0.40191
655.9701,0.40175
655.9702,0.40169
655.9703,0.40181
655.9704,0.40169
655.9705,0.40175
655.9706,0.40173
655.9707,0.40189
655.9708,0.40195
655.9709,0.40185
655.971,0.40195
655.9711,0.40181
655.9712,0.40187
655.9713,0.40169
655.9714,0.40205
655.9715,0.40179
655.9716,0.40191
655.9717,0.40213
655.9718,0.40166
655.9719,0.40171
655.972,0.40173
655.9721,0.40164
655.9722,0.40195
655.9723,0.40211
655.9724,0.40177
655.9725,0.40209
655.9726,0.40179
655.9727,0.40185
655.9728,0.40193
655.9729,0.40217
655.973,0.40205
655.9731,0.40179
655.9732,0.40189
655.9733,0.40179
655.9734,0.40199
655.9735,0.40195
655.9736,0.40175
655.9737,0.40195
655.9738,0.40179
655.9739,0.40195
655.974,0.40191
655.9741,0.40189
655.9742,0.40207
655.9743,0.40197
655.9744,0.40195
655.9745,0.40211
655.9746,0.40211
655.9747,0.40193
655.9748,0.40203
655.9749,0.40185
655.975,0.40215
655.9751,0.40199
655.9752,0.40201
655.9753,0.40213
655.9754,0.40191
655.9755,0.40191
655.9756,0.40183
655.9757,0.40195
655.9758,0.40205
655.9759,0.40225
655.976,0.40197
655.9761,0.40199
655.9762,0.40181
655.9763,0.40175
655.9764,0.40201
655.9765,0.40211
655.9766,0.40187
655.9767,0.40201
655.9768,0.40205
655.9769,0.40209
655.977,0.40223
655.9771,0.40211
655.9772,0.40213
655.9773,0.40187
655.9774,0.40179
655.9775,0.40215
655.9776,0.40221
655.9777,0.40234
655.9778,0.40211
655.9779,0.40223
655.978,0.40195
655.9781,0.40238
655.9782,0.40219
655.9783,0.40227
655.9784,0.40211
655.9785,0.40203
655.9786,0.40209
