Wavelength (nm),microAmps (mA)
485.85,0.40172
485.8501,0.40179
485.8502,0.40162
485.8503,0.40159
485.8504,0.40169
485.8505,0.40164
485.8506,0.40176
485.8507,0.40194
485.8508,0.40177
485.8509,0.40181
485.851,0.40181
485.8511,0.40179
485.8512,0.40165
485.8513,0.40172
485.8514,0.40169
485.8515,0.40164
485.8516,0.40183
485.8517,0.40193
485.8518,0.40165
485.8519,0.40181
485.852,0.40187
485.8521,0.40172
485.8522,0.40182
485.8523,0.40179
485.8524,0.40197
485.8525,0.4017
485.8526,0.40188
485.8527,0.40176
485.8528,0.40169
485.8529,0.40179
485.853,0.4017
485.8531,0.40177
485.8532,0.40175
485.8533,0.40172
485.8534,0.40172
485.8535,0.40175
485.8536,0.40187
485.8537,0.40194
485.8538,0.40183
485.8539,0.40192
485.854,0.40151
485.8541,0.4017
485.8542,0.40166
485.8543,0.40178
485.8544,0.40187
485.8545,0.40156
485.8546,0.40175
485.8547,0.40186
485.8548,0.40189
485.8549,0.40186
485.855,0.40172
485.8551,0.40183
485.8552,0.40183
485.8553,0.40199
485.8554,0.40198
485.8555,0.40178
485.8556,0.40193
485.8557,0.40184
485.8558,0.40186
485.8559,0.4017
485.856,0.40181
485.8561,0.40195
485.8562,0.40193
485.8563,0.40205
485.8564,0.40197
485.8565,0.40206
485.8566,0.40193
485.8567,0.40177
485.8568,0.40189
485.8569,0.40178
485.857,0.40193
485.8571,0.40183
485.8572,0.40183
485.8573,0.40182
485.8574,0.402
485.8575,0.40171
485.8576,0.40195
485.8577,0.40183
485.8578,0.40183
485.8579,0.40209
485.858,0.40204
485.8581,0.40198
485.8582,0.4019
485.8583,0.40192
485.8584,0.40178
485.8585,0.402
485.8586,0.40186
485.8587,0.40193
485.8588,0.40199
485.8589,0.40215
485.859,0.4021
485.8591,0.40206
485.8592,0.40201
485.8593,0.40179
485.8594,0.40199
485.8595,0.40205
485.8596,0.4019
485.8597,0.40233
485.8598,0.40208
485.8599,0.40181
485.86,0.40205
485.8601,0.4019
485.8602,0.40205
485.8603,0.402
485.8604,0.40204
485.8605,0.40222
485.8606,0.40216
485.8607,0.40215
485.8608,0.40212
485.8609,0.40201
485.861,0.40187
485.8611,0.40197
485.8612,0.4021
485.8613,0.40209
485.8614,0.40204
485.8615,0.40208
485.8616,0.40204
485.8617,0.40212
485.8618,0.40211
485.8619,0.40212
485.862,0.40214
485.8621,0.40193
485.8622,0.40201
485.8623,0.40221
485.8624,0.40239
485.8625,0.40198
485.8626,0.4021
485.8627,0.40216
485.8628,0.40212
485.8629,0.40216
485.863,0.4022
485.8631,0.40189
485.8632,0.40225
485.8633,0.4022
485.8634,0.40204
485.8635,0.40236
485.8636,0.40214
485.8637,0.40211
485.8638,0.40264
485.8639,0.40231
485.864,0.40248
485.8641,0.40249
485.8642,0.40221
485.8643,0.40231
485.8644,0.40244
485.8645,0.40262
485.8646,0.40237
485.8647,0.40254
485.8648,0.40237
485.8649,0.40238
485.865,0.40276
485.8651,0.4022
485.8652,0.40286
485.8653,0.40261
485.8654,0.40234
485.8655,0.40247
485.8656,0.40226
485.8657,0.40262
485.8658,0.40233
485.8659,0.40271
485.866,0.40255
485.8661,0.40249
485.8662,0.40254
485.8663,0.40256
485.8664,0.40238
485.8665,0.40327
485.8666,0.40272
485.8667,0.40255
485.8668,0.40269
485.8669,0.4026
485.867,0.40253
485.8671,0.40256
485.8672,0.40256
485.8673,0.40282
485.8674,0.40271
485.8675,0.40254
485.8676,0.40265
485.8677,0.40265
485.8678,0.40294
485.8679,0.4027
485.868,0.40277
485.8681,0.4024
485.8682,0.40272
485.8683,0.40247
485.8684,0.40267
485.8685,0.40261
485.8686,0.40278
485.8687,0.40275
485.8688,0.40287
485.8689,0.4027
485.869,0.40259
485.8691,0.40256
485.8692,0.40281
485.8693,0.40275
485.8694,0.40273
485.8695,0.40261
485.8696,0.40269
485.8697,0.40267
485.8698,0.40231
485.8699,0.40275
485.87,0.40259
485.8701,0.40259
485.8702,0.4025
485.8703,0.40294
485.8704,0.40266
485.8705,0.40281
485.8706,0.40309
485.8707,0.40281
485.8708,0.40256
485.8709,0.4027
485.871,0.40259
485.8711,0.40251
485.8712,0.40321
485.8713,0.4026
485.8714,0.40284
485.8715,0.40294
485.8716,0.40261
485.8717,0.4026
485.8718,0.403
485.8719,0.40292
485.872,0.40267
485.8721,0.40255
485.8722,0.40287
485.8723,0.40258
485.8724,0.4025
485.8725,0.40284
485.8726,0.403
485.8727,0.40288
485.8728,0.40288
485.8729,0.40228
485.873,0.40283
485.8731,0.40275
485.8732,0.40291
485.8733,0.40277
485.8734,0.40258
485.8735,0.40292
485.8736,0.40262
485.8737,0.40277
485.8738,0.40282
485.8739,0.40266
485.874,0.40261
485.8741,0.40281
485.8742,0.40275
485.8743,0.40256
