wavelength (nm),microAmps (mA)
433.765,0.40107
433.7651,0.40106
433.7652,0.40111
433.7653,0.40102
433.7654,0.4011
433.7655,0.4011
433.7656,0.40105
433.7657,0.40106
433.7658,0.40108
433.7659,0.40103
433.766,0.40107
433.7661,0.40105
433.7662,0.40106
433.7663,0.40105
433.7664,0.40101
433.7665,0.40109
433.7666,0.40106
433.7667,0.401
433.7668,0.4011
433.7669,0.40109
433.767,0.40112
433.7671,0.40109
433.7672,0.40102
433.7673,0.40105
433.7674,0.40113
433.7675,0.40109
433.7676,0.40106
433.7677,0.40102
433.7678,0.40103
433.7679,0.40103
433.768,0.40106
433.7681,0.4011
433.7682,0.40104
433.7683,0.40102
433.7684,0.40098
433.7685,0.40108
433.7686,0.40104
433.7687,0.40106
433.7688,0.40107
433.7689,0.40101
433.769,0.401
433.7691,0.40104
433.7692,0.40103
433.7693,0.40108
433.7694,0.40105
433.7695,0.40105
433.7696,0.40106
433.7697,0.40102
433.7698,0.40107
433.7699,0.40103
433.77,0.40106
433.7701,0.40107
433.7702,0.40108
433.7703,0.40105
433.7704,0.40108
433.7705,0.40101
433.7706,0.40102
433.7707,0.40103
433.7708,0.40107
433.7709,0.40098
433.771,0.4011
433.7711,0.40106
433.7712,0.401
433.7713,0.40107
433.7714,0.40104
433.7715,0.40104
433.7716,0.40103
433.7717,0.40103
433.7718,0.40107
433.7719,0.40108
433.772,0.40107
433.7721,0.40104
433.7722,0.40108
433.7723,0.40101
433.7724,0.40108
433.7725,0.40099
433.7726,0.40104
433.7727,0.40103
433.7728,0.40108
433.7729,0.40105
433.773,0.40105
433.7731,0.40103
433.7732,0.40113
433.7733,0.40109
433.7734,0.40104
433.7735,0.40103
433.7736,0.40103
433.7737,0.40106
433.7738,0.40108
433.7739,0.40098
433.774,0.40109
433.7741,0.40099
433.7742,0.40108
433.7743,0.40104
433.7744,0.40106
433.7745,0.40108
433.7746,0.401
433.7747,0.40105
433.7748,0.40107
433.7749,0.40106
433.775,0.40104
433.7751,0.40103
433.7752,0.40108
433.7753,0.40108
433.7754,0.40105
433.7755,0.40099
433.7756,0.40102
433.7757,0.40103
433.7758,0.40108
433.7759,0.401
433.776,0.40103
433.7761,0.40105
433.7762,0.401
433.7763,0.40102
433.7764,0.40104
433.7765,0.40102
433.7766,0.40104
433.7767,0.40108
433.7768,0.401
433.7769,0.40105
433.777,0.40106
433.7771,0.40104
433.7772,0.40102
433.7773,0.40108
433.7774,0.40105
433.7775,0.401
433.7776,0.40107
433.7777,0.40105
433.7778,0.40104
433.7779,0.40104
433.778,0.40103
433.7781,0.40101
433.7782,0.40111
433.7783,0.40108
433.7784,0.40109
433.7785,0.4011
433.7786,0.40103
433.7787,0.40112
433.7788,0.40104
433.7789,0.40099
433.779,0.40107
433.7791,0.40112
433.7792,0.4011
433.7793,0.40116
433.7794,0.401
433.7795,0.40107
433.7796,0.4011
433.7797,0.40108
433.7798,0.40106
433.7799,0.401
433.78,0.40102
433.7801,0.40107
433.7802,0.401
433.7803,0.40106
433.7804,0.40099
433.7805,0.40103
433.7806,0.4011
433.7807,0.40104
433.7808,0.40106
433.7809,0.40108
433.781,0.4011
433.7811,0.40106
433.7812,0.40108
433.7813,0.40109
433.7814,0.40108
433.7815,0.401
433.7816,0.40097
433.7817,0.40105
433.7818,0.40101
433.7819,0.40103
433.782,0.4011
433.7821,0.40107
433.7822,0.40106
433.7823,0.40106
433.7824,0.40109
433.7825,0.40108
433.7826,0.40103
433.7827,0.40109
433.7828,0.40103
433.7829,0.40105
433.783,0.40102
433.7831,0.40111
433.7832,0.40109
433.7833,0.40105
433.7834,0.40104
433.7835,0.40098
433.7836,0.40104
433.7837,0.40101
433.7838,0.40102
433.7839,0.40105
433.784,0.4011
433.7841,0.40104
433.7842,0.40105
433.7843,0.40112
433.7844,0.40103
433.7845,0.40109
433.7846,0.40108
433.7847,0.40106
433.7848,0.40108
433.7849,0.40109
433.785,0.40104
433.7851,0.40103
433.7852,0.40109
433.7853,0.40104
433.7854,0.4011
433.7855,0.40107
433.7856,0.40102
433.7857,0.40106
