Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745065823
Base Time Fractional,.775429960
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-1.5666053514e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000111240,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:23,.775429960
2,-4.959088983014e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099932668,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:23,.944860900
3,-1.168533344753e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199941551,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.114269740
4,-9.783689165488e-07,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299849944,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.283677300
5,-8.116272510961e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399875134,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.453099560
6,3.276989446022e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499894413,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.622519820
7,-4.135581548326e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599926971,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.791940160
8,6.708665750921e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699963202,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:24,.961371920
9,1.197622623295e-07,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799996487,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:25,.130779800
10,9.865820175037e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899867082,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:25,.300205720
11,2.865082933567e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999912008,Amp DC,.001,T,4W,F,F,04/19/2025,12:30:25,.469640440
