Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745065719
Base Time Fractional,.369724800
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-8.253409760073e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000114032,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:39,.369724800
2,-0.001749846967869,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099929221,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:39,.539145980
3,-0.003481973195449,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199940332,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:39,.708540020
4,-0.005222063045949,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299848216,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:39,.877935000
5,-0.006956657394767,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399877317,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.047334900
6,-0.008697157725692,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499893285,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.216736020
7,-0.01043134182692,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599924606,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.386152820
8,-0.01217266172171,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699962766,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.555560440
9,-0.0139069808647,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799991831,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.724981340
10,-0.01564624905586,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899865699,Amp DC,.001,T,4W,F,F,04/19/2025,12:28:40,.894404520
