Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1745065497
Base Time Fractional,.016625460
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-7.841299520805e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000114032,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.016625460
2,-1.058675115928e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099929466,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.186049740
3,2.453845809214e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199940860,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.355440420
4,-5.919602699578e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299848853,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.524847620
5,1.165085996035e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399876299,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.694268100
6,3.002831363119e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499890884,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:57,.863649960
7,1.810240792111e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599926534,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.033060860
8,1.302345481236e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699956800,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.202457700
9,2.880950341932e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799992922,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.371850300
10,2.07105622394e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899865699,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.541260640
11,3.663380630314e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999915574,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.710655500
12,2.578951534815e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099928049,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:58,.880056600
13,3.745738649741e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199976323,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:59,.049443020
14,3.306471626274e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300017175,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:59,.218851920
15,4.885067755822e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399861649,Amp DC,.001,T,4W,F,F,04/19/2025,12:24:59,.388255580
